SourceFile,FileName,Make,Model,Orientation,FNumber,ExposureProgram,ExposureTime,ISO,ApertureValue,Flash,FocalLength,DigitalZoomRatio,SceneCaptureType,ImageWidth,ImageHeight
./S20 2 Wide/20221024_142627(0).jpg,20221024_142627(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142559.jpg,20221024_142559.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142611(0).jpg,20221024_142611(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142613.jpg,20221024_142613.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142607.jpg,20221024_142607.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142543(0).jpg,20221024_142543(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142619(0).jpg,20221024_142619(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142615(0).jpg,20221024_142615(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142623(0).jpg,20221024_142623(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142631(0).jpg,20221024_142631(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142617(0).jpg,20221024_142617(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142631(1).jpg,20221024_142631(1).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
